Family	Species	BUSCO	RNAseq_samples
Acanthaceae	Avicennia marina	94.9	67
Acanthaceae	Andrographis paniculata	96.3	40
Actinidiaceae	Actinidia chinensis	93.6	344
Actinidiaceae	Actinidia eriantha	85.4	24
Amaranthaceae	Amaranthus hypochondriacus	80.8	28
Amborellaceae	Amborella trichopoda	97.77	102
Anacardiaceae	Mangifera indica	99.61	231
Anacardiaceae	Pistacia vera	96.47	50
Anacardiaceae	Toxicodendron radicans	75.6	5
Anthocerotaceae	Anthoceros angustus	77.2	2
Apiaceae	Daucus carota subsp. sativus	99.31	199
Apiaceae	Oenanthe javanica	89.9	41
Apiaceae	Centella asiatica	95.9	19
Apiaceae	Apium graveolens	93.7	15
Apocynaceae	Catharanthus roseus	80.8	144
Apocynaceae	Calotropis procera	82.5	56
Apocynaceae	Rhazya stricta	95.3	48
Apocynaceae	Asclepias syriaca	76.9	4
Araceae	Spirodela polyrhiza	86	50
Araceae	Colocasia esculenta	74.1	27
Araceae	Wolffia australiana	77.8	16
Araceae	Spirodela intermedia	96.1	2
Araliaceae	Panax notoginseng	85.4	279
Arecaceae	Elaeis guineensis	97.87	425
Arecaceae	Phoenix dactylifera	95.77	147
Arecaceae	Cocos nucifera	90.1	97
Arecaceae	Calamus simplicifolius	83.3	24
Arecaceae	Elaeis oleifera	57.6	16
Asparagaceae	Asparagus officinalis	88.01	112
Asparagaceae	Asparagus setaceus	84.4	4
Asteraceae	Helianthus annuus	97.59	1207
Asteraceae	Lactuca sativa	98.5	709
Asteraceae	Mikania micrantha	89	173
Asteraceae	Carthamus tinctorius	68.3	149
Asteraceae	Stevia rebaudiana	80.7	100
Asteraceae	Artemisia annua	93	75
Asteraceae	Chrysanthemum seticuspe	92	51
Asteraceae	Erigeron canadensis	97.76	39
Asteraceae	Lactuca saligna	88.9	3
Berberidaceae	Berberis thunbergii	90.3	24
Betulaceae	Betula pendula	95.3	110
Betulaceae	Corylus heterophylla	91	30
Betulaceae	Alnus glutinosa	79.4	7
Betulaceae	Carpinus fangiana	93.8	6
Bignoniaceae	Handroanthus impetiginosus	85.4	7
Boraginaceae	Echium plantagineum	95.6	20
Brassicaceae	Arabidopsis thaliana	98.8	58302
Brassicaceae	Brassica napus	99.48	5136
Brassicaceae	Brassica rapa	99.8	3028
Brassicaceae	Arabidopsis halleri	97.4	1443
Brassicaceae	Brassica oleracea	98.7	1390
Brassicaceae	Brassica juncea	98.7	962
Brassicaceae	Raphanus sativus	99.35	425
Brassicaceae	Aethionema arabicum	98.5	306
Brassicaceae	Arabidopsis arenosa	97.9	249
Brassicaceae	Camelina sativa	99.85	206
Brassicaceae	Eutrema salsugineum	99.63	178
Brassicaceae	Capsella bursa-pastoris	95.6	158
Brassicaceae	Arabis alpina	98.4	104
Brassicaceae	Capsella rubella	99.76	82
Brassicaceae	Brassica nigra	98.4	66
Brassicaceae	Arabidopsis lyrata subsp. lyrata	99.87	60
Brassicaceae	Noccaea caerulescens	97.1	55
Brassicaceae	Thlaspi arvense	98.9	48
Brassicaceae	Isatis tinctoria	99	43
Brassicaceae	Nasturtium officinale	98.3	38
Brassicaceae	Schrenkiella parvula	98.3	37
Brassicaceae	Sisymbrium irio	97.6	35
Brassicaceae	Brassica oleracea var. oleracea	99.46	31
Brassicaceae	Sinapis alba	98.7	25
Brassicaceae	Brassica cretica	62.1	20
Brassicaceae	Boechera stricta	96.2	19
Brassicaceae	Iberis amara	75	18
Brassicaceae	Erysimum cheiri	91.6	10
Brassicaceae	Crambe hispanica	94.7	8
Brassicaceae	Diplotaxis tenuifolia	82.4	8
Brassicaceae	Arabis montbretiana	97.4	7
Brassicaceae	Physaria fendleri	79.6	7
Brassicaceae	Euclidium syriacum	98.7	5
Brassicaceae	Barbarea vulgaris	94.3	2
Brassicaceae	Erysimum cheiranthoides	98.7	2
Brassicaceae	Turritis glabra	99.2	2
Bromeliaceae	Ananas comosus	93.85	419
Cactaceae	Carnegiea gigantea	87.3	5
Calycanthaceae	Chimonanthus salicifolius	88.2	30
Campanulaceae	Platycodon grandiflorus	93.3	65
Campanulaceae	Codonopsis lanceolata	95.5	6
Cannabaceae	Cannabis sativa	95.7	475
Cannabaceae	Parasponia andersonii	97.1	52
Cannabaceae	Trema orientale	96.9	5
Caricaceae	Carica papaya	80.83	220
Caryophyllaceae	Silene latifolia	60.3	342
Caryophyllaceae	Dianthus caryophyllus	94.8	83
Caryophyllaceae	Silene noctiflora	88.8	10
Casuarinaceae	Casuarina glauca	96.4	24
Celastraceae	Tripterygium wilfordii	99.01	22
Cephalotaceae	Cephalotus follicularis	92.5	17
Chenopodiaceae	Chenopodium quinoa	98.37	383
Chenopodiaceae	Spinacia oleracea	97.46	343
Chenopodiaceae	Beta vulgaris subsp. vulgaris	98.37	279
Chenopodiaceae	Bassia scoparia	61.4	29
Chenopodiaceae	Chenopodium suecicum	95.5	5
Cleomaceae	Tarenaya hassleriana	98.65	66
Convolvulaceae	Ipomoea batatas	69.5	933
Convolvulaceae	Cuscuta campestris	89	100
Convolvulaceae	Cuscuta australis	85.3	51
Convolvulaceae	Ipomoea trifida	96.6	32
Convolvulaceae	Ipomoea triloba	97	29
Convolvulaceae	Ipomoea nil	95.6	27
Crassulaceae	Sedum album	91.7	69
Crassulaceae	Kalanchoe fedtschenkoi	91.5	48
